read from x2_15.txt(100000,)TPS: 62500, ETA: 1 minute, 19 seconds
TPS: 6409, ETA: 12 minutes, 25 seconds
TPS: 6410, ETA: 12 minutes, 25 seconds
TPS: 6410, ETA: 12 minutes, 25 seconds
TPS: 6410, ETA: 12 minutes, 25 seconds
TPS: 6411, ETA: 12 minutes, 25 seconds
TPS: 6411, ETA: 12 minutes, 25 seconds
TPS: 6412, ETA: 12 minutes, 24 seconds
TPS: 6412, ETA: 12 minutes, 24 seconds
TPS: 6413, ETA: 12 minutes, 24 seconds
TPS: 6413, ETA: 12 minutes, 24 seconds
TPS: 6414, ETA: 12 minutes, 24 seconds
TPS: 6414, ETA: 12 minutes, 24 seconds
TPS: 6415, ETA: 12 minutes, 24 seconds
TPS: 6415, ETA: 12 minutes, 23 seconds
TPS: 6415, ETA: 12 minutes, 23 seconds
TPS: 6416, ETA: 12 minutes, 23 seconds
TPS: 6416, ETA: 12 minutes, 23 seconds
TPS: 6417, ETA: 12 minutes, 23 seconds
TPS: 6417, ETA: 12 minutes, 23 seconds
TPS: 6418, ETA: 12 minutes, 23 seconds
TPS: 6418, ETA: 12 minutes, 23 seconds
TPS: 6419, ETA: 12 minutes, 22 seconds
TPS: 6419, ETA: 12 minutes, 22 seconds
TPS: 6420, ETA: 12 minutes, 22 seconds
TPS: 6420, ETA: 12 minutes, 22 seconds
TPS: 6420, ETA: 12 minutes, 22 seconds
TPS: 6421, ETA: 12 minutes, 22 seconds
TPS: 6421, ETA: 12 minutes, 22 seconds
TPS: 6422, ETA: 12 minutes, 22 seconds
TPS: 6422, ETA: 12 minutes, 21 seconds
TPS: 6422, ETA: 12 minutes, 21 seconds
TPS: 6423, ETA: 12 minutes, 21 seconds
TPS: 6423, ETA: 12 minutes, 21 seconds
TPS: 6424, ETA: 12 minutes, 21 seconds
TPS: 6424, ETA: 12 minutes, 21 seconds
TPS: 6425, ETA: 12 minutes, 21 seconds
TPS: 6425, ETA: 12 minutes, 20 seconds
TPS: 6426, ETA: 12 minutes, 20 seconds
TPS: 6426, ETA: 12 minutes, 20 seconds
TPS: 6426, ETA: 12 minutes, 20 seconds
TPS: 6427, ETA: 12 minutes, 20 seconds
TPS: 6427, ETA: 12 minutes, 20 seconds
TPS: 6428, ETA: 12 minutes, 20 seconds
TPS: 6428, ETA: 12 minutes, 20 seconds
TPS: 6428, ETA: 12 minutes, 19 seconds
TPS: 6429, ETA: 12 minutes, 19 seconds
TPS: 6429, ETA: 12 minutes, 19 seconds
TPS: 6430, ETA: 12 minutes, 19 seconds
TPS: 6430, ETA: 12 minutes, 19 seconds
TPS: 6431, ETA: 12 minutes, 19 seconds
TPS: 6431, ETA: 12 minutes, 19 seconds
TPS: 6428, ETA: 12 minutes, 19 seconds
TPS: 6432, ETA: 12 minutes, 18 seconds
TPS: 6432, ETA: 12 minutes, 18 seconds
TPS: 6433, ETA: 12 minutes, 18 seconds
TPS: 6433, ETA: 12 minutes, 18 seconds
TPS: 6433, ETA: 12 minutes, 18 seconds
TPS: 6434, ETA: 12 minutes, 18 seconds
TPS: 6434, ETA: 12 minutes, 18 seconds
TPS: 6420, ETA: 12 minutes, 19 seconds
TPS: 6431, ETA: 12 minutes, 18 seconds
TPS: 6435, ETA: 12 minutes, 17 seconds
TPS: 6435, ETA: 12 minutes, 17 seconds
TPS: 6436, ETA: 12 minutes, 17 seconds
TPS: 6436, ETA: 12 minutes, 17 seconds
TPS: 6437, ETA: 12 minutes, 17 seconds
TPS: 6437, ETA: 12 minutes, 17 seconds
TPS: 6437, ETA: 12 minutes, 17 seconds
TPS: 6438, ETA: 12 minutes, 17 seconds
TPS: 6436, ETA: 12 minutes, 17 seconds
TPS: 6439, ETA: 12 minutes, 16 seconds
TPS: 6439, ETA: 12 minutes, 16 seconds
TPS: 6439, ETA: 12 minutes, 16 seconds
TPS: 6440, ETA: 12 minutes, 16 seconds
TPS: 6440, ETA: 12 minutes, 16 seconds
TPS: 6440, ETA: 12 minutes, 16 seconds
TPS: 6441, ETA: 12 minutes, 16 seconds
TPS: 6441, ETA: 12 minutes, 15 seconds
TPS: 6442, ETA: 12 minutes, 15 seconds
TPS: 6442, ETA: 12 minutes, 15 seconds
TPS: 6442, ETA: 12 minutes, 15 seconds
TPS: 6443, ETA: 12 minutes, 15 seconds
TPS: 6443, ETA: 12 minutes, 15 seconds
TPS: 6443, ETA: 12 minutes, 15 seconds
TPS: 6442, ETA: 12 minutes, 15 seconds
TPS: 6444, ETA: 12 minutes, 15 seconds
TPS: 6445, ETA: 12 minutes, 14 seconds
TPS: 6445, ETA: 12 minutes, 14 seconds
TPS: 6445, ETA: 12 minutes, 14 seconds
TPS: 6446, ETA: 12 minutes, 14 seconds
TPS: 6446, ETA: 12 minutes, 14 seconds
